screen_position,doi,title,year,venue,type,language,url,coder_name,date_screened,E1,E2,note
121,10.3390/s20072034,Investigating the Use of Pretrained Convolutional Neural Network on Cross-Subject and Cross-Dataset EEG Emotion Recognition,2020,Sensors,article,en,https://doi.org/10.3390/s20072034,,,,,
122,10.1016/j.jneumeth.2023.109909,SIFIAE: An adaptive emotion recognition model with EEG feature-label inconsistency consideration,2023,Journal of Neuroscience Methods,article,en,https://doi.org/10.1016/j.jneumeth.2023.109909,,,,,
123,10.1109/taffc.2020.2982143,Unsupervised Learning in Reservoir Computing for EEG-Based Emotion Recognition,2020,IEEE Transactions on Affective Computing,article,en,http://arxiv.org/abs/1811.07516,,,,,
124,10.37394/232014.2021.17.4,Deep Learning Based on CNN for Emotion Recognition Using EEG Signal,2021,WSEAS Transactions on Signal Processing archive,article,en,https://doi.org/10.37394/232014.2021.17.4,,,,,
125,10.1007/s10489-023-04561-0,From gram to attention matrices: a monotonicity constrained method for eeg-based emotion classification,2023,Applied Intelligence,article,en,https://doi.org/10.1007/s10489-023-04561-0,,,,,
126,10.1109/icspcom.2016.7980589,Analysis of neural electrical activities during elicitation of human emotion based on EEG,2016,,conference-paper,en,https://doi.org/10.1109/icspcom.2016.7980589,,,,,
127,10.3390/ijerph15112461,Emotional Stress State Detection Using Genetic Algorithm-Based Feature Selection on EEG Signals,2018,International Journal of Environmental Research and Public Health,article,en,https://doi.org/10.3390/ijerph15112461,,,,,
128,10.1080/08839514.2025.2450568,Personalised Affective Classification Through Enhanced EEG Signal Analysis,2025,Applied Artificial Intelligence,article,en,https://doi.org/10.1080/08839514.2025.2450568,,,,,
129,10.1371/journal.pone.0322583,Research on emotion recognition using sparse EEG channels and cross-subject modeling based on CNN-KAN-F2CA model,2025,PLoS ONE,article,en,https://doi.org/10.1371/journal.pone.0322583,,,,,
130,10.1109/tcds.2019.2949306,Domain Adaptation for EEG Emotion Recognition Based on Latent Representation Similarity,2019,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2019.2949306,,,,,
131,10.1109/tnsre.2023.3236434,A Brain Network Analysis-Based Double Way Deep Neural Network for Emotion Recognition,2023,IEEE Transactions on Neural Systems and Rehabilitation Engineering,article,en,https://doi.org/10.1109/tnsre.2023.3236434,,,,,
132,10.36227/techrxiv.171560997.77552223/v1,Emotion Recognition from EEG Network Connectivity Using Low-Dimensional Discriminant Analysis on Riemannian Manifolds,2024,,preprint,en,https://doi.org/10.36227/techrxiv.171560997.77552223/v1,,,,,
133,10.1016/j.compeleceng.2025.110189,EEG-CNN-Souping: Interpretable emotion recognition from EEG signals using EEG-CNN-souping model and explainable AI,2025,Computers & Electrical Engineering,article,en,https://doi.org/10.1016/j.compeleceng.2025.110189,,,,,
134,10.1007/978-981-97-3937-0_15,Deep Ensemble Learning Approach for Multimodal Emotion Recognition,2024,Lecture notes in networks and systems,conference-paper,en,https://doi.org/10.1007/978-981-97-3937-0_15,,,,,
135,10.36227/techrxiv.170420879.92145482/v1,Emotion Recognition from Brain Connectivity Based on Multi-Head Attention Transformer and Autoencoder Network,2024,,preprint,en,http://dx.doi.org/10.36227/techrxiv.170420879.92145482/v1,,,,,
136,10.1007/978-981-19-5443-6_17,Evaluating the Effectiveness of Classification Algorithms for EEG Sentiment Analysis,2023,Advances in intelligent systems and computing,book-chapter,en,https://doi.org/10.1007/978-981-19-5443-6_17,,,,,
137,10.1016/j.artmed.2021.102210,Tetromino pattern based accurate EEG emotion classification model,2021,Artificial Intelligence in Medicine,article,en,https://doi.org/10.1016/j.artmed.2021.102210,,,,,
138,10.1109/cbd69312.2025.00073,Face Expression Images and EEG Signals Based Emotion Recognition,2025,,conference-paper,,https://doi.org/10.1109/cbd69312.2025.00073,,,,,
139,10.28991/esj-2022-06-02-013,Oversampling Approach Using Radius-SMOTE for Imbalance Electroencephalography Datasets,2022,Emerging Science Journal,article,en,https://doi.org/10.28991/esj-2022-06-02-013,,,,,
140,10.4018/979-8-3693-7427-6.ch007,Detection of Human Emotions With Features Based on the EEG Signals Wavelet Transformation,2025,,book-chapter,en,https://doi.org/10.4018/979-8-3693-7427-6.ch007,,,,,
141,10.1109/mlbdbi60823.2023.10481889,Multimodal Emotion Recognition Based on Hybrid Fusion,2023,,conference-paper,en,https://doi.org/10.1109/mlbdbi60823.2023.10481889,,,,,
142,10.48550/arxiv.1905.09472,EEG Classification by factoring in Sensor Configuration,2019,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/1905.09472,,,,,
143,10.1007/s11571-020-09634-1,EEG-based emotion recognition using 4D convolutional recurrent neural network,2020,Cognitive Neurodynamics,article,en,https://www.ncbi.nlm.nih.gov/pmc/articles/7568753,,,,,
144,10.1109/ijcnn55064.2022.9892816,Deep Spatio-Temporal Mutual Learning for EEG Emotion Recognition,2022,2022 International Joint Conference on Neural Networks (IJCNN),conference-paper,en,https://doi.org/10.1109/ijcnn55064.2022.9892816,,,,,
145,10.3389/fpsyg.2022.899983,Transfer Discriminative Dictionary Pair Learning Approach for Across-Subject EEG Emotion Classification,2022,Frontiers in Psychology,article,en,https://doi.org/10.3389/fpsyg.2022.899983,,,,,
146,10.1109/iccmc.2018.8488044,Emotion Recognition System based on EEG signal: A Comparative Study of Different Features and Classifiers,2018,,conference-paper,en,https://doi.org/10.1109/iccmc.2018.8488044,,,,,
147,10.1016/j.entcom.2025.101005,Deep learning based emotion recognition for analyzing students’ psychological states during competitions,2025,Entertainment Computing,article,en,https://doi.org/10.1016/j.entcom.2025.101005,,,,,
148,10.1016/j.bspc.2025.107929,Electroencephalogram emotion recognition and analysis based on feature fusion and stable learning,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2025.107929,,,,,
149,10.54097/ezrccb22,Enhancing Depression Detection through Multimodal Emotion Recognition and Wearable Technologies,2024,Highlights in Science Engineering and Technology,article,en,https://doi.org/10.54097/ezrccb22,,,,,
150,10.3389/fpsyt.2025.1633860,DGAT: a dynamic graph attention neural network framework for EEG emotion recognition,2025,Frontiers in Psychiatry,article,en,https://doi.org/10.3389/fpsyt.2025.1633860,,,,,
151,10.1080/27706710.2022.2075241,Deep learning with convolutional neural networks for EEG-based music emotion decoding and visualization,2022,Brain-Apparatus Communication A Journal of Bacomics,article,en,https://doi.org/10.1080/27706710.2022.2075241,,,,,
152,10.1007/978-3-030-46785-2_24,Emotion Recognition from Time-Frequency Analysis in EEG Signals Using a Deep Learning Strategy,2020,Communications in computer and information science,conference-paper,en,https://doi.org/10.1007/978-3-030-46785-2_24,,,,,
153,10.1016/j.eij.2019.10.002,Employing PCA and t-statistical approach for feature extraction and classification of emotion from multichannel EEG signal,2019,Egyptian Informatics Journal,article,en,https://doi.org/10.1016/j.eij.2019.10.002,,,,,
154,10.48084/etasr.14864,A Hybrid Fuzzy CNN–LSTM Approach for Emotion Recognition from EEG–ECG Physiological Signals,2025,Engineering Technology & Applied Science Research,article,,https://doi.org/10.48084/etasr.14864,,,,,
155,10.1109/icsadl65848.2025.10933301,EEG-Based Emotion Recognition Using Morlet Dual-Level Wavelet Contextual Neural Network with Snow Geese Algorithm,2025,,conference-paper,en,https://doi.org/10.1109/icsadl65848.2025.10933301,,,,,
156,10.1109/jsen.2024.3380749,A Hybrid Critical Channel Selection Framework for EEG Emotion Recognition,2024,IEEE Sensors Journal,article,en,https://doi.org/10.1109/jsen.2024.3380749,,,,,
157,10.1109/taffc.2024.3433613,Grop: Graph Orthogonal Purification Network for EEG Emotion Recognition,2024,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2024.3433613,,,,,
158,10.1109/ijcnn48605.2020.9207280,A Long Short Term Memory Deep Learning Network for the Classification of Negative Emotions Using EEG Signals,2020,,conference-paper,en,https://doi.org/10.1109/ijcnn48605.2020.9207280,,,,,
159,10.1080/1206212x.2025.2537288,A novel framework for multiclass emotion detection using EEG signals with advanced preprocessing and explainable graph attention networks,2025,International Journal of Computers and Applications,article,en,https://doi.org/10.1080/1206212x.2025.2537288,,,,,
160,10.1109/iceeict62016.2024.10534372,Towards Superior EEG-Based Emotion Recognition: Integrating CNN Outputs with Machine Learning Classifiers for Enhanced Performance,2024,,conference-paper,en,https://doi.org/10.1109/iceeict62016.2024.10534372,,,,,
161,10.48550/arxiv.2209.02249,Machine Learning For Classification Of Antithetical Emotional States,2022,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2209.02249,,,,,
162,10.1109/taffc.2025.3564272,Exploiting the Intrinsic Neighborhood Semantic Structure for Domain Adaptation in EEG-Based Emotion Recognition,2025,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2025.3564272,,,,,
163,10.1145/3664647.3681570,WSEL: EEG Feature Selection with Weighted Self-expression Learning for Incomplete Multi-dimensional Emotion Recognition,2024,,conference-paper,en,https://doi.org/10.1145/3664647.3681570,,,,,
164,10.22489/cinc.2024.381,A Network Physiology Approach to Brain-Heart Interaction for Affective State Characterization Using Photoplethysmography Features,2024,Computing in cardiology,conference-paper,en,https://doi.org/10.22489/cinc.2024.381,,,,,
165,10.17485/ijst/2016/v9i33/99622,Mental State Recognition by using Brain Waves,2016,Indian Journal of Science and Technology,article,en,https://doi.org/10.17485/ijst/2016/v9i33/99622,,,,,
166,10.14329/isr.2025.27.4.001,A Hybrid Approach to Enhancing the Extraction of Spatiotemporal Features of EEG Signals and Improving Emotion Recognition Accuracy,2025,Information Systems Review,article,,https://doi.org/10.14329/isr.2025.27.4.001,,,,,
167,10.1109/tnsre.2025.3603190,A Progressive Multi-Domain Adaptation Network With Reinforced Self-Constructed Graphs for Cross-Subject EEG-Based Emotion and Consciousness Recognition,2025,IEEE Transactions on Neural Systems and Rehabilitation Engineering,article,en,https://doi.org/10.1109/tnsre.2025.3603190,,,,,
168,10.1109/taffc.2024.3357656,CFDA-CSF: A Multi-Modal Domain Adaptation Method for Cross-Subject Emotion Recognition,2024,IEEE Transactions on Affective Computing,article,en,https://doi.org/10.1109/taffc.2024.3357656,,,,,
169,10.1109/bibm52615.2021.9669838,A Novel Emotion Recognition Method Incorporating MST-based Brain Network and FVMD-GAMPE,2021,2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),conference-paper,en,https://doi.org/10.1109/bibm52615.2021.9669838,,,,,
170,10.3389/fncom.2019.00053,Multi-method Fusion of Cross-Subject Emotion Recognition Based on High-Dimensional EEG Features,2019,Frontiers in Computational Neuroscience,article,en,https://doi.org/10.3389/fncom.2019.00053,,,,,
171,10.20944/preprints202509.0064.v1,Cross-Subject EEG Emotion Recognition Using SSA-EMS Algorithm for Feature Extraction,2025,Preprints.org,preprint,en,https://doi.org/10.20944/preprints202509.0064.v1,,,,,
172,,Person identification based on EEG signals,2025,Νημερτής,article,el,https://hdl.handle.net/10889/29147,,,,,
173,10.1109/access.2019.2944273,Channel Selection Method for EEG Emotion Recognition Using Normalized Mutual Information,2019,IEEE Access,article,en,https://doi.org/10.1109/access.2019.2944273,,,,,
174,10.3390/brainsci14040344,MES-CTNet: A Novel Capsule Transformer Network Base on a Multi-Domain Feature Map for Electroencephalogram-Based Emotion Recognition,2024,Brain Sciences,article,en,https://doi.org/10.3390/brainsci14040344,,,,,
175,10.2139/ssrn.4732341,Modelling Eeg Signal Classification and Evaluation Using Multi-Layered Network Model,2024,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.4732341,,,,,
176,10.21203/rs.3.rs-4967207/v1,EEG-Based Emotion Recognition Model Using Fuzzy Adjacency Matrix Combined with Convolutional Multi-Head Graph Attention Mechanism,2024,Research Square,preprint,en,https://doi.org/10.21203/rs.3.rs-4967207/v1,,,,,
177,10.2139/ssrn.5334457,Uda-Dda: Unsupervised Domain Adaptation with Dynamic Distribution Alignment Network for Emotion Recognition Using Eeg Signals,2025,SSRN Electronic Journal,preprint,en,https://doi.org/10.2139/ssrn.5334457,,,,,
178,10.48550/arxiv.2110.10009,EEGminer: Discovering Interpretable Features of Brain Activity with Learnable Filters,2021,arXiv (Cornell University),preprint,en,http://arxiv.org/abs/2110.10009,,,,,
179,10.1109/ecti-con64996.2025.11100870,EEG-Based Personalized Emotion Recognition and Receptive Music Therapy System in the Aid of Autism Patients,2025,,conference-paper,en,https://doi.org/10.1109/ecti-con64996.2025.11100870,,,,,
180,10.1111/coin.70112,Emotion‐Based Mental State Classification Using EEG for Brain‐Computer Interface Applications,2025,Computational Intelligence,article,en,https://doi.org/10.1111/coin.70112,,,,,
181,10.1109/bibm66473.2025.11357212,Home Robot Motor Imagery Interaction and Emotional Awareness Based on Multimodal EEG Feature Extraction,2025,,conference-paper,,https://doi.org/10.1109/bibm66473.2025.11357212,,,,,
182,10.1109/ddcls55054.2022.9858390,Emotion Recognition Method Based on EEG in Few Channels,2022,2022 IEEE 11th Data Driven Control and Learning Systems Conference (DDCLS),conference-paper,en,https://doi.org/10.1109/ddcls55054.2022.9858390,,,,,
183,,New Feature Extraction Method for Precision Improvement in Emotion Detection Using EEG Signals,2018,DOAJ (DOAJ: Directory of Open Access Journals),article,en,http://jhbmi.ir/browse.php?a_id=273&sid=1&slc_lang=en,,,,,
184,10.4108/eetel.4974,EEG Emotion Recognition Based on Self-Distillation Convolutional Graph Attention Network,2024,ICST Transactions on e-Education and e-Learning,article,en,http://dx.doi.org/10.4108/eetel.4974,,,,,
185,10.1109/tcds.2018.2868121,Electroencephalogram Emotion Recognition Based on Empirical Mode Decomposition and Optimal Feature Selection,2018,IEEE Transactions on Cognitive and Developmental Systems,article,en,https://doi.org/10.1109/tcds.2018.2868121,,,,,
186,10.11591/ijeecs.v33.i2.pp920-931,Electroencephalogram based human emotion classification for valence and arousal using machine learning approach,2024,Indonesian Journal of Electrical Engineering and Computer Science,article,en,http://dx.doi.org/10.11591/ijeecs.v33.i2.pp920-931,,,,,
187,10.1007/978-3-031-52760-9_28,Comparative Analysis of EEG Sub-band Powers for Emotion Recognition,2024,EAI/Springer Innovations in Communication and Computing,conference-paper,en,https://doi.org/10.1007/978-3-031-52760-9_28,,,,,
188,10.1109/icetci57876.2023.10176392,AGCN-SAT: Adaptive Graph Convolutional Network with Spatial Attention and Transformer for EEG Emotion Recognition,2023,,conference-paper,en,https://doi.org/10.1109/icetci57876.2023.10176392,,,,,
189,10.1109/bibm62325.2024.10822805,Comparative Analysis of Machine Learning Approaches for Emotion Recognition Using EEG and ECG Signals,2024,,conference-paper,en,https://pure.ulster.ac.uk/en/publications/b26b23cf-aade-46a2-ad0f-925c073f85ba,,,,,
190,10.11591/ijeecs.v35.i1.pp459-466,Emotion detection using EEG: hybrid classification approach,2024,Indonesian Journal of Electrical Engineering and Computer Science,article,en,https://doi.org/10.11591/ijeecs.v35.i1.pp459-466,,,,,
191,10.1007/s11042-016-3608-7,Error-correcting output codes for multi-label emotion classification,2016,Multimedia Tools and Applications,article,en,https://doi.org/10.1007/s11042-016-3608-7,,,,,
192,10.1016/j.bspc.2024.107473,EEG emotion recognition based on efficient-capsule network with convolutional attention,2025,Biomedical Signal Processing and Control,article,en,https://doi.org/10.1016/j.bspc.2024.107473,,,,,
193,10.1109/acii.2015.7344552,Identifying valence and arousal levels via connectivity between EEG channels,2015,,conference-paper,en,https://doi.org/10.1109/acii.2015.7344552,,,,,
194,10.1109/iciccs53718.2022.9788367,A Secure Authentication System based on Emotion Analysis of EEG Signals using Deep Learning Technique,2022,2022 6th International Conference on Intelligent Computing and Control Systems (ICICCS),conference-paper,en,https://doi.org/10.1109/iciccs53718.2022.9788367,,,,,
195,10.1109/icassp43922.2022.9746528,Holistic Semi-Supervised Approaches for EEG Representation Learning,2022,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",conference-paper,en,https://doi.org/10.1109/icassp43922.2022.9746528,,,,,
196,10.14569/ijacsa.2018.090843,EEG-Based Emotion Recognition using 3D Convolutional Neural Networks,2018,International Journal of Advanced Computer Science and Applications,article,en,https://doi.org/10.14569/ijacsa.2018.090843,,,,,
197,10.1007/s11042-022-12310-7,CNN and LSTM based ensemble learning for human emotion recognition using EEG recordings,2022,Multimedia Tools and Applications,article,en,https://doi.org/10.1007/s11042-022-12310-7,,,,,
198,10.1109/tensymp46218.2019.8971281,Emotion Analysis Based on LASSO,2019,2019 IEEE Region 10 Symposium (TENSYMP),conference-paper,en,https://doi.org/10.1109/tensymp46218.2019.8971281,,,,,
199,10.1109/jbhi.2022.3198688,EEG-Based Emotion Recognition Using Spatial-Temporal Graph Convolutional LSTM With Attention Mechanism,2022,IEEE Journal of Biomedical and Health Informatics,article,en,https://doi.org/10.1109/jbhi.2022.3198688,,,,,
200,10.3390/brainsci15080886,Interpretable EEG Emotion Classification via CNN Model and Gradient-Weighted Class Activation Mapping,2025,Brain Sciences,article,en,https://doi.org/10.3390/brainsci15080886,,,,,
201,10.1109/icpads47876.2019.00107,Multi-Channel Physiological Signal Emotion Recognition Based on ReliefF Feature Selection,2019,,conference-paper,en,https://doi.org/10.1109/icpads47876.2019.00107,,,,,
202,10.1109/iccica67008.2025.11337428,The Silent Signals: A Review on AI-Driven Micro-Expression Analysis for Mental Health,2025,,conference-paper,,https://doi.org/10.1109/iccica67008.2025.11337428,,,,,
203,10.1109/jsen.2023.3256356,Recognition of Riding Feeling From EEG Based on Neural Network,2023,IEEE Sensors Journal,article,en,https://doi.org/10.1109/jsen.2023.3256356,,,,,
